Time,Force,Displacement,Strain 1
(s),(kN),(mm),(mm/mm)
607,1.3155,2.5228,0.030289999999999997
608,1.3139,2.5267,0.030337999999999997
609,1.3122,2.5308,0.030389
610,1.3108,2.5349,0.030438999999999997
611,1.3093,2.5389,0.03049
612,1.3077,2.5428,0.030539
613,1.3061,2.5467,0.030587
614,1.3045,2.5507,0.030638000000000002
615,1.303,2.5548,0.030688
616,1.3015,2.5586,0.030735000000000002
617,1.2999,2.5628,0.030789
618,1.2985,2.567,0.030840999999999997
619,1.297,2.5707,0.030886999999999998
620,1.2954,2.5749,0.030939
621,1.2941,2.5788,0.030989
622,1.2924,2.5827,0.031037
623,1.2909,2.5867,0.031086999999999997
624,1.2895,2.5908,0.031138
625,1.2881,2.5949,0.031189
626,1.2867,2.5989,0.031239
627,1.2849,2.6027,0.031286999999999995
628,1.2836,2.6068,0.031337000000000004
629,1.2822,2.6109,0.031389
630,1.2807,2.6146,0.031436
631,1.2793,2.6188,0.031488
632,1.278,2.6231,0.031541
633,1.2765,2.6267,0.031585999999999996
634,1.2749,2.6307,0.031636000000000004
635,1.2736,2.6348,0.031687
636,1.2721,2.6387,0.031735
637,1.2705,2.6426,0.031785
638,1.2693,2.6468,0.031837
639,1.2678,2.6509,0.031888
640,1.2666,2.6548,0.031938
641,1.2651,2.6588,0.031987
642,1.2637,2.6628,0.032037
643,1.2623,2.6668,0.032087
644,1.2608,2.6706,0.032134
645,1.2593,2.6748,0.032187
646,1.2582,2.6789,0.032238
647,1.2567,2.6827,0.032285
648,1.2551,2.6868,0.032336000000000004
649,1.2539,2.6908,0.032386
650,1.2525,2.6947,0.032436
651,1.251,2.6988,0.032486
652,1.2495,2.7028,0.032536
653,1.2481,2.7068,0.032586
654,1.2468,2.7108,0.032636
655,1.2452,2.7146,0.032684000000000005
656,1.2436,2.7186,0.032734
657,1.2423,2.7228,0.032787000000000004
658,1.2406,2.7265,0.032832
659,1.239,2.7307,0.032885
660,1.2377,2.735,0.032938999999999996
661,1.2363,2.7387,0.032985
662,1.2343,2.7428,0.033035
663,1.2329,2.7469,0.033087
664,1.2311,2.7508,0.033135
665,1.2291,2.7547,0.033184
666,1.2274,2.7589,0.033236
667,1.2255,2.7628,0.033285999999999996
668,1.2235,2.7668,0.033336000000000005
669,1.2214,2.7707,0.033384
670,1.2193,2.7747,0.033434
671,1.2169,2.7789,0.033485999999999995
672,1.2144,2.7827,0.033533
673,1.2118,2.7868,0.033585
674,1.2093,2.791,0.033637
